# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1312.52  11223.88  4.884  5.446    0.787    0.914       -3.77 -0.01847  0.01484
     1321.45  12035.14  5.016  5.453    0.748    0.893       -3.81 -0.01705  0.01126
     1319.53  11945.90  5.122  5.400    0.761    0.882       -1.83 -0.01448  0.00842
     1308.37  11513.70  5.514  5.338    0.894    0.805      -95.84 -0.00821 -0.00215
     1307.55  11661.78  5.694  5.300    0.753    0.909       -8.91 -0.00511 -0.00699
     1305.42  11445.77  5.630  5.354    0.773    0.921      -15.62 -0.00718 -0.00529
     1307.40  11631.53  5.660  5.468    0.761    0.913      -11.42 -0.00958 -0.00612
     1313.80  11660.88  5.754  5.470    0.730    0.922       -4.97 -0.00850 -0.00865
     1311.93  11836.21  5.848  5.434    0.718    0.928      174.06 -0.00648 -0.01119
     1313.16  11637.60  5.796  5.447    0.931    0.742       80.24 -0.00742 -0.00978
     1304.84  11204.39  5.594  5.467    0.796    0.924      -12.08 -0.01037 -0.00434
     1307.53  11426.98  5.344  5.411    0.777    0.917      176.22 -0.01203  0.00242
     1309.12  11717.17  5.322  5.364    0.924    0.759      266.42 -0.01118  0.00305
     1307.27  11470.02  5.376  5.312    0.774    0.928     -182.98 -0.00928  0.00160
     1311.09  11444.60  5.333  5.275    0.928    0.772      -96.58 -0.00890  0.00277
     1310.10  11624.10  5.268  5.329    0.750    0.929      349.48 -0.01098  0.00451
     1310.67  11607.81  5.240  5.429    0.933    0.751      255.78 -0.01373  0.00523
     1311.65  11161.61  5.076  5.471    0.777    0.924      -12.55 -0.01674  0.00964
     1314.05  11121.96  5.002  5.394    0.785    0.922        0.75 -0.01579  0.01166
     1305.91  11046.93  5.393  5.338    0.812    0.926      177.94 -0.00967  0.00112
     1306.77  11449.28  5.651  5.326    0.760    0.943       -6.18 -0.00627 -0.00583
     1308.24  11566.97  5.695  5.321    0.744    0.937       -7.08 -0.00561 -0.00701
     1309.72  11898.82  5.729  5.345    0.732    0.929       -7.34 -0.00577 -0.00795
     1310.61  11565.44  5.730  5.329    0.745    0.941       -6.01 -0.00538 -0.00796
     1306.79  11107.79  5.661  5.320    0.768    0.957      -10.94 -0.00599 -0.00609
     1301.49  10357.61  5.471  5.319    0.815    0.993      -14.95 -0.00827 -0.00099
     1310.59  10478.94  5.105  5.374    0.993    0.797       76.90 -0.01406  0.00888
     1313.38  11143.95  4.990  5.405    0.764    0.956       -5.06 -0.01619  0.01200
     1315.74  11598.05  5.121  5.403    0.739    0.938       -4.31 -0.01455  0.00845
     1316.45  11534.07  5.252  5.437    0.758    0.945       -7.22 -0.01379  0.00491
     1304.14  11214.35  5.496  5.511    0.791    0.934     -731.20 -0.01261 -0.00169
     1304.68  10924.93  5.295  5.538    0.951    0.808      250.36 -0.01570  0.00373
     1313.00  11235.70  5.006  5.530    0.787    0.930     -371.88 -0.01903  0.01154
     1314.08  11482.92  4.862  5.472    0.775    0.899       -2.76 -0.01936  0.01542
     1314.90  12039.23  4.935  5.421    0.741    0.900       -1.60 -0.01724  0.01347
     1315.34  12301.72  5.058  5.360    0.722    0.903       -1.80 -0.01428  0.01016
     1313.04  12358.88  5.168  5.312    0.720    0.899       -3.15 -0.01178  0.00720
     1314.55  12026.99  5.165  5.322    0.734    0.914       -7.85 -0.01208  0.00729
     1318.11  12358.76  5.132  5.363    0.732    0.908       -9.20 -0.01347  0.00818
     1310.02  12060.92  5.269  5.379    0.750    0.901       -4.73 -0.01217  0.00445
     1303.02  11306.23  5.491  5.315    0.932    0.778       83.12 -0.00793 -0.00152
     1302.77  11355.85  5.451  5.319    0.960    0.774      257.65 -0.00851 -0.00043
     1303.36  11111.92  5.317  5.364    0.770    0.956    -1448.80 -0.01124  0.00317
     1311.89  11243.41  5.086  5.345    0.774    0.945       -4.30 -0.01357  0.00940
     1306.36  11203.06  4.966  5.285    0.759    0.939       -1.67 -0.01358  0.01267
     1317.69  12121.71  5.082  5.277    0.733    0.918       -1.97 -0.01199  0.00954
     1309.50  12002.38  5.233  5.237    0.910    0.737       87.84 -0.00918  0.00547
     1313.26  11978.68  5.271  5.232    0.750    0.904     -907.70 -0.00860  0.00443
     1313.01  11852.12  5.243  5.293    0.749    0.920      169.72 -0.01042  0.00520
     1311.81  11796.32  5.263  5.384    0.747    0.924      168.52 -0.01238  0.00463
     1311.98  11788.34  5.272  5.394    0.751    0.908       -4.56 -0.01251  0.00438
     1299.95  11138.27  5.374  5.314    0.919    0.793     -272.50 -0.00932  0.00164
     1303.92  10921.04  5.318  5.242    0.915    0.802     -456.89 -0.00828  0.00317
     1313.88  11876.05  5.206  5.176    0.906    0.756      -89.10 -0.00805  0.00621
